"","county","FIPS","studio","one_bed","two_bed","three_bed","four_bed"
"1","Alameda ",1,1540,1855,2329,3219,3946
"2","Alpine ",3,646,710,940,1339,1520
"3","Amador ",5,725,793,1055,1522,1687
"4","Butte ",7,712,785,992,1443,1689
"5","Calaveras ",9,619,763,902,1312,1589
"6","Colusa ",11,546,745,856,1245,1441
"7","Contra Costa ",13,1540,1855,2329,3219,3946
"8","Del Norte ",15,662,724,893,1266,1460
"9","El Dorado ",17,757,860,1086,1580,1913
"10","Fresno ",19,697,771,958,1368,1599
"11","Glenn ",21,558,611,813,1060,1107
"12","Humboldt ",23,639,729,956,1391,1600
"13","Imperial ",25,575,687,901,1199,1564
"14","Inyo ",27,755,760,917,1309,1313
"15","Kern ",29,672,695,904,1303,1550
"16","Kings ",31,747,752,929,1331,1496
"17","Lake ",33,583,705,914,1330,1474
"18","Lassen ",35,596,653,868,1220,1454
"19","Los Angeles ",37,1067,1284,1663,2231,2467
"20","Madera ",39,718,723,962,1361,1548
"21","Marin ",41,2014,2499,3121,4070,4346
"22","Mariposa ",43,626,717,912,1286,1555
"23","Mendocino ",45,708,777,1033,1461,1653
"24","Merced ",47,542,623,790,1149,1368
"25","Modoc ",49,479,533,697,1014,1127
"26","Mono ",51,790,924,1229,1545,1988
"27","Monterey ",53,986,1146,1433,2074,2215
"28","Napa ",55,1005,1196,1575,2286,2533
"29","Nevada ",57,757,892,1186,1725,2075
"30","Orange ",59,1294,1493,1876,2626,3045
"31","Placer ",61,757,860,1086,1580,1913
"32","Plumas ",63,592,751,862,1169,1330
"33","Riverside ",65,768,926,1156,1618,2004
"34","Sacramento ",67,757,860,1086,1580,1913
"35","San Benito ",69,1269,1277,1699,2471,2992
"36","San Bernardino ",71,768,926,1156,1618,2004
"37","San Diego ",73,1257,1400,1816,2612,3198
"38","San Francisco ",75,2014,2499,3121,4070,4346
"39","San Joaquin ",77,631,746,990,1440,1744
"40","San Luis Obispo ",79,971,1107,1427,2076,2513
"41","San Mateo ",81,2014,2499,3121,4070,4346
"42","Santa Barbara ",83,1393,1636,1917,2603,3030
"43","Santa Clara ",85,1716,2031,2522,3468,3942
"44","Santa Cruz ",87,1253,1477,1965,2615,2961
"45","Shasta ",89,658,713,915,1331,1612
"46","Sierra ",91,818,899,1191,1493,1926
"47","Siskiyou ",93,524,617,821,1137,1353
"48","Solano ",95,874,1087,1341,1951,2361
"49","Sonoma ",97,1224,1420,1843,2681,3246
"50","Stanislaus ",99,727,809,1035,1478,1772
"51","Sutter ",101,674,678,887,1290,1562
"52","Tehama ",103,563,617,820,1115,1119
"53","Trinity ",105,582,637,847,1217,1492
"54","Tulare ",107,629,633,842,1194,1396
"55","Tuolumne ",109,654,746,957,1315,1496
"56","Ventura ",111,1109,1308,1739,2455,2938
"57","Yolo ",113,848,905,1203,1706,2119
"58","Yuba ",115,674,678,887,1290,1562
