"county","fips","rank","score"
"Alameda","1",5,1
"Alpine","3",1,1
"Amador","5",22,1
"Butte","7",32,0
"Calaveras","9",16,1
"Colusa","11",23,1
"Contra Costa","13",4,1
"Del Norte","15",34,0
"El Dorado","17",10,1
"Fresno","19",48,0
"Glenn","21",38,0
"Humboldt","23",45,0
"Imperial","25",25,1
"Inyo","27",30,0
"Kern","29",49,0
"Kings","31",28,0
"Lake","33",54,0
"Lassen","35",31,0
"Los Angeles","37",17,1
"Madera","39",36,0
"Marin","41",2,1
"Mariposa","43",29,0
"Mendocino","45",40,0
"Merced","47",41,0
"Modoc","49",50,0
"Mono","51",8,1
"Monterey","53",15,1
"Napa","55",46,0
"Nevada","57",7,1
"Orange","59",55,0
"Placer","61",35,0
"Plumas","63",52,0
"Riverside","65",19,1
"Sacramento","67",26,0
"San Benito","69",12,1
"San Bernardino","71",37,0
"San Diego","73",3,1
"San Francisco","75",57,0
"San Joaquin","77",42,0
"San Luis Obispo","79",6,1
"San Mateo","81",13,1
"Santa Barbara","83",11,1
"Santa Clara","85",24,1
"Santa Cruz","87",9,1
"Shasta","89",43,0
"Sierra","91",21,1
"Siskiyou","93",53,0
"Solano","95",20,1
"Sonoma","97",56,0
"Stanislaus","99",33,0
"Sutter","101",27,0
"Tehama","103",39,0
"Trinity","105",51,0
"Tulare","107",47,0
"Tuolumne","109",18,1
"Ventura","111",58,0
"Yolo","113",14,1
"Yuba","115",44,0
